Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Opponent Position(x),Opponent Position(y),score,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,98.436745,1,0,0,service_box,deuce,near,1.540818,7.557986,no_mans_land,deuce,far,-0.784507,23.67791,2.704495,down the T,In,FALSE,11:46:11,10.2,3.284459,-0.745443,0-0,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,2,return,Backhand,Topspin,67.991951,1,0,0,no_mans_land,ad,far,0.64117,21.618553,out,deuce,near,2.866704,-0.691038,1.140431,inside in,In,FALSE,11:46:12,11.4,-0.651971,23.56868,0-0,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,3,serve_plus_one,Forehand,Topspin,91.792122,1,0,0,no_mans_land,ad,near,-1.7123,4.095096,out,ad,far,0.378104,25.964935,1.302506,inside out,In,FALSE,11:46:14,13.13,1.513065,-0.745443,0-0,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,4,return_plus_one,Backhand,Topspin,74.643082,1,0,0,no_mans_land,ad,far,1.157406,20.571537,out,ad,near,-2.544409,-1.053649,0.938888,cross court,In,FALSE,11:46:15,14.51,0.971806,24.400948,0-0,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,5,in_play,Forehand,Topspin,88.915466,1,0,0,no_mans_land,ad,near,-0.719358,4.34891,out,ad,far,1.816429,26.248003,1.121761,inside out,In,FALSE,11:46:17,16.15,-1.09482,-0.983234,0-0,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,6,in_play,Backhand,Topspin,72.283096,1,0,0,service_box,ad,far,0.429961,16.125902,out,ad,near,-1.248331,-1.96643,1.185831,cross court,In,FALSE,11:46:18,17.530001,1.414655,24.282053,0-0,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,7,in_play,Forehand,Topspin,44.372288,1,0,0,service_box,deuce,near,1.486005,5.719509,no_mans_land,ad,far,1.23855,22.115923,0.944325,inside in,In,FALSE,11:46:20,19.25,-0.848793,-0.864339,0-0,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,8,in_play,Backhand,Topspin,78.85788,1,0,0,no_mans_land,ad,far,1.95022,20.597015,no_mans_land,deuce,near,1.727386,3.190225,1.127259,inside in,In,FALSE,11:46:22,21.93,0.086109,24.519844,0-0,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,9,in_play,Backhand,Flat,81.016518,1,0,0,service_box,deuce,far,-0.926844,12.375974,no_mans_land,ad,far,1.939592,24.250864,0.998229,down the line,Net,FALSE,11:46:23,23.120001,1.119422,6.269389,0-0,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,85.85453,2,0,0,service_box,deuce,far,-0.807119,11.912581,no_mans_land,ad,far,0.336356,23.435759,2.070281,down the T,Net,FALSE,11:46:41,41.099998,-3.583006,-0.57509,0-15,,,,,,,,,,,,,,,,
